OrderID,OrderDate,DispatchDate,ETA,DeliveryDate,OriginPlant,DestinationWarehouse,TransportMode,Supplier,DelayReason
O-1000,2023-04-25,2023-04-26,2023-04-28,2023-05-01,Pune,Mumbai_WH,Sea,Supplier_A,Traffic
O-1001,2023-01-04,2023-01-05,2023-01-10,2023-01-11,Hyderabad,Kolkata_WH,Air,Supplier_B,Weather
O-1002,2023-10-10,2023-10-12,2023-10-18,2023-10-19,Hyderabad,Delhi_WH,Road,Supplier_A,Customs Delay
O-1003,2023-12-10,2023-12-12,2023-12-14,2023-12-17,Pune,Mumbai_WH,Air,Supplier_C,Customs Delay
O-1004,2023-04-19,2023-04-22,2023-04-26,2023-04-26,Pune,Delhi_WH,Sea,Supplier_D,None
O-1005,2023-09-18,2023-09-20,2023-09-22,2023-09-21,Chennai,Mumbai_WH,Road,Supplier_C,None
O-1006,2023-02-27,2023-03-01,2023-03-06,2023-03-06,Pune,Kolkata_WH,Sea,Supplier_A,None
O-1007,2023-10-04,2023-10-07,2023-10-09,2023-10-12,Pune,Mumbai_WH,Sea,Supplier_B,Weather
O-1008,2023-10-09,2023-10-10,2023-10-14,2023-10-17,Chennai,Ahmedabad_WH,Air,Supplier_B,Transport Breakdown
O-1009,2023-06-23,2023-06-24,2023-06-30,2023-07-03,Chennai,Delhi_WH,Air,Supplier_B,Customs Delay
O-1010,2023-05-05,2023-05-07,2023-05-12,2023-05-12,Chennai,Ahmedabad_WH,Road,Supplier_B,None
O-1011,2023-10-02,2023-10-04,2023-10-07,2023-10-09,Chennai,Mumbai_WH,Rail,Supplier_B,Customs Delay
O-1012,2023-09-04,2023-09-05,2023-09-10,2023-09-09,Hyderabad,Ahmedabad_WH,Air,Supplier_B,None
O-1013,2023-01-26,2023-01-29,2023-02-03,2023-02-06,Pune,Delhi_WH,Road,Supplier_A,Customs Delay
O-1014,2023-12-03,2023-12-06,2023-12-12,2023-12-15,Bengaluru,Ahmedabad_WH,Rail,Supplier_A,Weather
O-1015,2023-02-07,2023-02-10,2023-02-13,2023-02-16,Hyderabad,Delhi_WH,Air,Supplier_A,Weather
O-1016,2023-05-16,2023-05-17,2023-05-19,2023-05-22,Bengaluru,Mumbai_WH,Rail,Supplier_C,Customs Delay
O-1017,2023-01-23,2023-01-24,2023-01-28,2023-01-28,Hyderabad,Kolkata_WH,Rail,Supplier_A,None
O-1018,2023-06-07,2023-06-09,2023-06-11,2023-06-12,Chennai,Delhi_WH,Air,Supplier_D,Customs Delay
O-1019,2023-06-20,2023-06-22,2023-06-25,2023-06-26,Bengaluru,Mumbai_WH,Road,Supplier_D,Customs Delay
O-1020,2023-06-18,2023-06-20,2023-06-22,2023-06-23,Chennai,Ahmedabad_WH,Sea,Supplier_A,Weather
O-1021,2023-07-17,2023-07-20,2023-07-23,2023-07-24,Hyderabad,Delhi_WH,Sea,Supplier_C,Traffic
O-1022,2023-06-17,2023-06-19,2023-06-23,2023-06-26,Pune,Ahmedabad_WH,Air,Supplier_C,Customs Delay
O-1023,2023-12-12,2023-12-13,2023-12-19,2023-12-21,Hyderabad,Ahmedabad_WH,Road,Supplier_D,Customs Delay
O-1024,2023-11-09,2023-11-10,2023-11-15,2023-11-17,Chennai,Ahmedabad_WH,Sea,Supplier_A,Customs Delay
O-1025,2023-08-22,2023-08-23,2023-08-28,2023-08-31,Chennai,Delhi_WH,Sea,Supplier_A,Weather
O-1026,2023-11-17,2023-11-18,2023-11-22,2023-11-24,Pune,Ahmedabad_WH,Rail,Supplier_B,Traffic
O-1027,2023-10-05,2023-10-07,2023-10-12,2023-10-11,Hyderabad,Kolkata_WH,Air,Supplier_D,None
O-1028,2023-04-23,2023-04-25,2023-04-30,2023-05-02,Chennai,Ahmedabad_WH,Sea,Supplier_D,Traffic
O-1029,2023-08-25,2023-08-26,2023-08-28,2023-08-29,Hyderabad,Mumbai_WH,Rail,Supplier_A,Transport Breakdown
O-1030,2023-11-30,2023-12-01,2023-12-03,2023-12-03,Chennai,Delhi_WH,Air,Supplier_C,None
O-1031,2023-06-09,2023-06-10,2023-06-16,2023-06-15,Bengaluru,Mumbai_WH,Rail,Supplier_B,None
O-1032,2023-12-05,2023-12-07,2023-12-09,2023-12-12,Pune,Ahmedabad_WH,Road,Supplier_A,Weather
O-1033,2023-10-31,2023-11-02,2023-11-06,2023-11-06,Hyderabad,Ahmedabad_WH,Road,Supplier_D,None
